"Name","Tags","MSE_ID","MSE_all","R2ScoreVW_ID","R2ScoreVW_all","seed","model.monolithic","model.reuse_phi"
"Orthogonal Compositional (Alpha)","2 slots, AlphaAdd, paper","0.0002650797658134252","0.00052152153220959","0.9836102724075316","0.979329663515091","3","false","true"
"Orthogonal Compositional (Alpha)","2 slots, AlphaAdd, paper","0.00027010717894881964","0.0005282515776343644","0.9832924962043762","0.9790645897388458","2","false","true"
"Orthogonal Compositional (Alpha)","2 slots, AlphaAdd, paper","0.00026542325504124163","0.0005222995358053594","0.9835974156856536","0.9792960166931152","0","false","true"
"Orthogonal Normal Compositional (Sigmoid)","2 slots, SigmoidAdd, paper","0.0007128903875127435","0.0012646130053326488","0.9559254169464112","0.9498844742774964","4","false","false"
"Orthogonal Normal Compositional (Sigmoid)","2 slots, SigmoidAdd, paper","0.0006905827147420495","0.0012136271107010543","0.9573216617107392","0.9519063830375672","3","false","false"
"Orthogonal Normal Compositional (Sigmoid)","2 slots, SigmoidAdd, paper","0.0006968394154682755","0.0012189983623102306","0.9568957626819612","0.9516892313957216","2","false","false"
"Orthogonal Normal Compositional (Sigmoid)","2 slots, SigmoidAdd, paper","0.000706483778776601","0.0012682318105362357","0.9562518179416656","0.949740594625473","1","false","false"
"Orthogonal Normal Compositional (Sigmoid)","2 slots, SigmoidAdd, paper","0.000698780722450465","0.0012519660871475936","0.9567945957183838","0.9505410611629486","0","false","false"
"Orthogonal Gap Compositional (Sigmoid)","2 slots, SigmoidAdd, paper","0.0007298778393305839","0.00236629992723465","0.9547364294528962","0.9061781883239746","1","false","false"
"Orthogonal Gap Compositional (Sigmoid)","2 slots, SigmoidAdd, paper","0.0007169181888457387","0.0027210262371227143","0.9554929912090302","0.8919669687747955","4","false","false"
"Orthogonal Gap Compositional (Sigmoid)","2 slots, SigmoidAdd, paper","0.0007042771787382663","0.002557541290298104","0.956336748600006","0.8995299160480499","3","false","false"
"Orthogonal Gap Compositional (Sigmoid)","2 slots, SigmoidAdd, paper","0.0007663715397939086","0.0028192572528496383","0.9524511456489564","0.8880419850349426","2","false","false"
"Orthogonal Gap Compositional (Sigmoid)","2 slots, SigmoidAdd, paper","0.000760083959903568","0.0027465147897601126","0.952847546339035","0.8909509658813477","0","false","false"
"Orthogonal Monolithic","2 slots, monolithic, paper","0.0008846157870721072","0.038219645619392395","0.9456534683704376","-0.4789582639932632","4","true","false"
"Orthogonal Monolithic","2 slots, monolithic, paper","0.0008275548636447639","0.03919902890920639","0.9489016771316529","-0.49605112075805663","3","true","false"
"Orthogonal Monolithic","2 slots, monolithic, paper","0.000837833882542327","0.042083242908120155","0.9482627749443054","-0.6136704027652741","2","true","false"
"Orthogonal Monolithic","2 slots, monolithic, paper","0.0008746210893150419","0.046641654893755914","0.945985072851181","-0.4693102896213531","1","true","false"
"Orthogonal Monolithic","2 slots, monolithic, paper","0.0008200171403586864","0.03697061911225319","0.9493970513343812","-0.4398399204015731","0","true","false"
"Orthogonal* Compositional (Sigmoid)","2 slots, SigmoidAdd, paper","0.0006893154582940042","0.0034787579206749797","0.9541627585887908","0.8618649959564209","4","false","false"
"Orthogonal* Compositional (Sigmoid)","2 slots, SigmoidAdd, paper","0.0006789179402403534","0.003592896484769881","0.9548628747463226","0.8573313653469086","3","false","false"
"Orthogonal* Compositional (Sigmoid)","2 slots, SigmoidAdd, paper","0.0006902690918650478","0.003077843249775469","0.9541142582893372","0.8778236687183381","2","false","false"
"Orthogonal* Compositional (Sigmoid)","2 slots, SigmoidAdd, paper","0.000686970673268661","0.0031906562158837914","0.9543277025222778","0.8734682142734528","1","false","false"
"Orthogonal Compositional (Sigmoid)","2 slots, SigmoidAdd, paper","0.0006833997904323041","0.0012123530614189804","0.9577445924282074","0.9519403874874116","3","false","false"
"Orthogonal Compositional (Sigmoid)","2 slots, SigmoidAdd, paper","0.000688337959581986","0.0012142586288973688","0.9575320601463316","0.9518818378448486","4","false","false"
"Orthogonal Compositional (Sigmoid)","2 slots, SigmoidAdd, paper","0.0006882196699734777","0.0012113293283618986","0.9575151205062866","0.9519666850566864","2","false","false"
"Orthogonal Compositional (Sigmoid)","2 slots, SigmoidAdd, paper","0.0007100661110598594","0.0012605328229255974","0.9562074601650238","0.9500445425510406","1","false","false"
"Diagonal 0.05 Compositional (Sigmoid)","2 slots, SigmoidAdd, paper","0.002579500782303512","0.01607577968388796","0.845806622505188","0.3622082471847534","4","false","false"
"Diagonal 0.05 Compositional (Sigmoid)","2 slots, SigmoidAdd, paper","0.0033598576439544557","0.015277869254350662","0.7989334344863892","0.3928516894578934","3","false","false"
